employee_index,turnover_probability,risk_zone,actual_left
10627,0.0,Safe,0
2703,0.63,Medium-Risk,0
6059,0.02,Safe,0
3258,0.01,Safe,0
4565,0.0,Safe,0
4991,0.02,Safe,0
13976,0.01,Safe,0
9427,0.0,Safe,0
7173,0.0,Safe,0
13412,0.01,Safe,0
14892,1.0,High-Risk,1
11861,0.01,Safe,0
1246,1.0,High-Risk,1
12932,0.0,Safe,0
5997,0.02,Safe,0
14278,1.0,High-Risk,1
3664,0.0,Safe,0
4266,0.0,Safe,0
13383,0.0,Safe,0
12238,1.0,High-Risk,1
11072,0.04,Safe,0
14859,1.0,High-Risk,1
2752,0.0,Safe,0
5889,0.1,Safe,0
10194,0.02,Safe,0
10640,0.04,Safe,0
12500,1.0,High-Risk,1
4181,0.19,Safe,0
9779,0.0,Safe,0
4483,0.0,Safe,0
6420,0.09,Safe,0
14703,1.0,High-Risk,1
233,1.0,High-Risk,1
8857,0.06,Safe,0
4324,0.11,Safe,0
756,1.0,High-Risk,1
14260,1.0,High-Risk,1
7947,0.0,Safe,0
4228,0.0,Safe,0
7009,0.0,Safe,0
3675,0.1,Safe,0
7321,0.0,Safe,0
4534,0.55,Low-Risk,0
9908,0.05,Safe,0
7338,0.0,Safe,0
12268,1.0,High-Risk,1
5708,0.01,Safe,0
14204,0.0,Safe,0
8017,0.0,Safe,0
12087,1.0,High-Risk,1
172,1.0,High-Risk,1
225,1.0,High-Risk,1
14601,1.0,High-Risk,1
3470,0.02,Safe,0
13031,0.01,Safe,0
6920,0.02,Safe,0
14450,1.0,High-Risk,1
12575,1.0,High-Risk,1
251,1.0,High-Risk,1
4478,0.01,Safe,0
2459,0.03,Safe,0
14344,1.0,High-Risk,1
3141,0.07,Safe,0
11729,0.0,Safe,0
2286,0.04,Safe,0
12887,0.0,Safe,0
150,1.0,High-Risk,1
9539,0.0,Safe,0
14960,1.0,High-Risk,1
11677,0.0,Safe,0
1072,0.15,Safe,1
419,0.94,High-Risk,1
4469,0.0,Safe,0
13235,0.0,Safe,0
4233,0.0,Safe,0
2099,0.04,Safe,0
12521,1.0,High-Risk,1
12221,0.98,High-Risk,1
5860,0.11,Safe,0
3406,0.0,Safe,0
13692,0.0,Safe,0
6590,0.0,Safe,0
8077,0.0,Safe,0
10594,0.0,Safe,0
9811,0.06,Safe,0
3100,0.01,Safe,0
14955,0.92,High-Risk,1
12389,0.99,High-Risk,1
4275,0.01,Safe,0
2430,0.0,Safe,0
12444,1.0,High-Risk,1
11372,0.0,Safe,0
10463,0.25,Low-Risk,0
5665,0.01,Safe,0
13411,0.0,Safe,0
3222,0.0,Safe,0
9231,0.0,Safe,0
11674,0.0,Safe,0
12157,1.0,High-Risk,1
8181,0.03,Safe,0
9296,0.0,Safe,0
12726,1.0,High-Risk,1
1636,1.0,High-Risk,1
11785,0.0,Safe,0
12482,0.99,High-Risk,1
6434,0.0,Safe,0
4329,0.09,Safe,0
5982,0.1,Safe,0
13602,0.04,Safe,0
6861,0.01,Safe,0
4940,0.01,Safe,0
357,1.0,High-Risk,1
12169,1.0,High-Risk,1
1268,1.0,High-Risk,1
12915,0.0,Safe,0
7305,0.08,Safe,0
6442,0.09,Safe,0
6140,0.0,Safe,0
1946,1.0,High-Risk,1
3901,0.01,Safe,0
3706,0.0,Safe,0
10280,0.04,Safe,0
8038,0.0,Safe,0
652,1.0,High-Risk,1
14666,1.0,High-Risk,1
12501,0.68,Medium-Risk,1
